Cycle Number,Charge Duration(s),Discharge Duration(s),Charging Ah,Discharging Ah,Charging Wh,Discharging Wh,CE,EE,VE,ASR
0,16140,4847,5.3799,1.6157,8.0769,1.9843,0.300321567,0.24567594,0.818042947,2.301932538
1,5436,5323,1.8121,1.7742,2.8338,2.1766,0.979085039,0.768085257,0.784492894,2.777631361
2,5196,5203,1.7321,1.7342,2.7075,2.1149,1.001212401,0.7811265,0.780180609,2.840074753
3,5310,5192,1.7699,1.7308,2.7671,2.1045,0.977908356,0.760543529,0.777724747,2.875771866
4,5343,5201,1.7811,1.7337,2.7844,2.1031,0.973387233,0.755315328,0.775965929,2.901397796
5,5381,5211,1.7937,1.737,2.8042,2.1033,0.968389363,0.750053491,0.774537103,2.922253152
6,5439,5239,1.8129,1.7462,2.8345,2.1123,0.96320812,0.745210796,0.773675782,2.934841337
7,5575,5316,1.8584,1.7719,2.9041,2.143,0.953454585,0.737922248,0.77394588,2.930892543
8,5659,5370,1.8863,1.7901,2.9473,2.1644,0.949000689,0.734367048,0.773831944,2.932558135
9,5576,5362,1.8586,1.7874,2.904,2.1582,0.961691596,0.743181818,0.772786017,2.94785809
10,5564,5348,1.8548,1.7825,2.8999,2.1493,0.961020056,0.741163488,0.771225828,2.970714335
11,5551,5331,1.8502,1.7771,2.8935,2.1402,0.960490758,0.739657854,0.77008326,2.987478128
12,5548,5318,1.8493,1.7728,2.8926,2.133,0.958632996,0.73739888,0.769219172,3.000170426
13,5539,5302,1.8463,1.7674,2.8884,2.1245,0.957265883,0.73552832,0.768363663,3.012748944
14,5551,5304,1.8503,1.7679,2.8947,2.1249,0.955466681,0.734065706,0.768279754,3.013983312
15,5613,5331,1.871,1.7769,2.9267,2.1366,0.94970604,0.730037243,0.768698116,3.007830045
16,5594,5332,1.8647,1.7773,2.9158,2.1365,0.95312919,0.732732012,0.768764633,3.00685198
17,5566,5317,1.8552,1.7724,2.9006,2.129,0.955368693,0.733986072,0.768275198,3.014050335
18,5494,5275,1.8313,1.7585,2.8646,2.1096,0.960246819,0.736437897,0.76692563,3.033919714
19,5477,5243,1.8257,1.7477,2.8569,2.095,0.957276661,0.733312332,0.766040123,3.046973333
20,5451,5219,1.8171,1.7398,2.8441,2.084,0.957459689,0.732744981,0.765301129,3.057877173
21,5434,5197,1.8115,1.7325,2.8358,2.0739,0.956389732,0.73132802,0.764675734,3.067112002
