SR,date,timestamp,bpow,bcurr,bvolt,bocv
3757,2023-05-08 11:07:17,1683515237,0,-0.059999999,59.8880043,0
3756,2023-05-08 11:07:48,1683515268,0,0.02,59.87400436,0
3755,2023-05-08 11:08:19,1683515299,0,0.02,59.89200211,0
3754,2023-05-08 11:08:50,1683515330,0,0.029999999,59.88000107,0
3753,2023-05-08 11:09:21,1683515361,0,-0.01,59.87500381,0
3752,2023-05-08 11:09:47,1683515387,0,-0.029999999,59.87800217,0
3751,2023-05-08 11:10:18,1683515418,0,-0.079999998,59.87700272,0
3750,2023-05-08 11:10:49,1683515449,0,-0.029999999,59.87000275,0
3749,2023-05-08 11:11:20,1683515480,0,0,59.88000107,0
3748,2023-05-08 11:11:51,1683515511,0,-0.089999996,59.87000275,0
3747,2023-05-08 11:12:17,1683515537,0,0.02,59.87200165,0
3746,2023-05-08 11:12:48,1683515568,0,0.01,59.87400436,0
3745,2023-05-08 11:13:19,1683515599,0,0.01,59.87400436,0
3744,2023-05-08 11:13:50,1683515630,0,-0.099999994,59.87500381,0
3743,2023-05-08 11:14:21,1683515661,0,-0.02,59.88700104,0
3742,2023-05-08 11:14:47,1683515687,0,0,59.86600113,0
3741,2023-05-08 11:15:18,1683515718,0,-0.01,59.87800217,0
3740,2023-05-08 11:15:49,1683515749,0,-0.039999999,59.87200165,0
3739,2023-05-08 11:16:20,1683515780,0,0.01,59.87600327,0
3738,2023-05-08 11:16:51,1683515811,0,-0.02,59.86200333,0
3737,2023-05-08 11:17:22,1683515842,0,-0.029999999,59.87600327,0
3736,2023-05-08 11:17:48,1683515868,0,-0.039999999,59.86800385,0
3735,2023-05-08 11:18:19,1683515899,0,0,59.86700439,0
3734,2023-05-08 11:18:50,1683515930,0,-0.089999996,59.87800217,0
3733,2023-05-08 11:19:21,1683515961,0,-0.089999996,59.87600327,0
3732,2023-05-08 11:19:52,1683515992,0,-0.149999991,59.86700439,0
3731,2023-05-08 11:20:18,1683516018,0,0.029999999,59.87800217,0
3730,2023-05-08 11:20:49,1683516049,0,-0.039999999,59.86800385,0
3729,2023-05-08 11:21:20,1683516080,0,0.029999999,59.87500381,0
3728,2023-05-08 11:21:51,1683516111,0,-0.01,59.86700439,0
3727,2023-05-08 11:22:22,1683516142,0,0,59.86300278,0
3726,2023-05-08 11:22:48,1683516168,0,0.039999999,59.85900116,0
3725,2023-05-08 11:23:18,1683516198,0,-0.079999998,59.87000275,0
3724,2023-05-08 11:23:49,1683516229,0,-0.07,59.86800385,0
3723,2023-05-08 11:24:20,1683516260,0,-0.01,59.8710022,0
3722,2023-05-08 11:24:52,1683516292,0,-0.049999997,59.87400436,0
3721,2023-05-08 11:25:18,1683516318,0,0.109999999,59.87400436,0
3720,2023-05-08 11:25:49,1683516349,0,-0.049999997,59.87200165,0
3719,2023-05-08 11:26:20,1683516380,0,-0.02,59.86600113,0
3718,2023-05-08 11:26:51,1683516411,0,-0.049999997,59.85000229,0
3717,2023-05-08 11:27:22,1683516442,0,-0.029999999,59.8730011,0
3716,2023-05-08 11:27:48,1683516468,0,-0.140000001,59.84800339,0
3715,2023-05-08 11:28:19,1683516499,0,0.01,59.87200165,0
3714,2023-05-08 11:28:50,1683516530,0,-0.119999997,59.86500168,0
3713,2023-05-08 11:29:22,1683516562,0,-0.029999999,59.86300278,0
3712,2023-05-08 11:29:47,1683516587,0,-0.01,59.86000443,0
3711,2023-05-08 11:30:19,1683516619,0,0.07,59.85100174,0
3710,2023-05-08 11:30:50,1683516650,0,0.049999997,59.85400391,0
3709,2023-05-08 11:31:21,1683516681,0,-0.109999999,59.86100388,0
3708,2023-05-08 11:31:52,1683516712,0,-0.149999991,59.87000275,0
3707,2023-05-08 11:32:17,1683516737,0,-0.039999999,59.85500336,0
3706,2023-05-08 11:32:49,1683516769,0,0.089999996,59.84800339,0
3705,2023-05-08 11:33:20,1683516800,0,-0.07,59.85300446,0
3704,2023-05-08 11:33:51,1683516831,0,0.01,59.86800385,0
3703,2023-05-08 11:34:22,1683516862,0,-0.01,59.85100174,0
3702,2023-05-08 11:34:47,1683516887,0,-0.07,59.86000443,0
3701,2023-05-08 11:35:19,1683516919,0,-0.079999998,59.86500168,0
3700,2023-05-08 11:35:49,1683516949,0,-0.07,59.84500122,0
3699,2023-05-08 11:36:21,1683516981,0,-0.059999999,59.86700439,0
3698,2023-05-08 11:36:52,1683517012,0,0,59.86000443,0
3697,2023-05-08 11:37:18,1683517038,0,0.01,59.86300278,0
